year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points,round_order,is_finals,margin,margin_category
2021,3,Round 3,2021-03-27,Broncos,24,Bulldogs,0,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/broncos-v-bulldogs/,1,24,24,3,0,24,Comfortable (13-24)
2021,3,Round 3,2021-03-27,Eels,28,Sharks,4,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/eels-v-sharks/,1,24,32,3,0,24,Comfortable (13-24)
2021,3,Round 3,2021-03-28,Knights,20,Wests Tigers,24,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/knights-v-wests-tigers/,0,-4,44,3,0,4,Close (1-6)
2021,3,Round 3,2021-03-28,Cowboys,8,Titans,44,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-3/cowboys-v-titans/,0,-36,52,3,0,36,Blowout (25+)
2021,4,Round 4,2021-04-01,Sea Eagles,6,Panthers,46,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2021/round-4/sea-eagles-v-panthers/,0,-40,52,4,0,40,Blowout (25+)
2021,4,Round 4,2021-04-02,Bulldogs,0,Rabbitohs,38,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-4/bulldogs-v-rabbitohs/,0,-38,38,4,0,38,Blowout (25+)
2021,4,Round 4,2021-04-02,Storm,40,Broncos,6,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2021/round-4/storm-v-broncos/,1,34,46,4,0,34,Blowout (25+)
2021,4,Round 4,2021-04-03,Sharks,48,Cowboys,10,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-4/sharks-v-cowboys/,1,38,58,4,0,38,Blowout (25+)
2021,4,Round 4,2021-04-03,Titans,4,Raiders,20,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-4/titans-v-raiders/,0,-16,24,4,0,16,Comfortable (13-24)
2021,4,Round 4,2021-04-04,Knights,13,Dragons,22,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-4/knights-v-dragons/,0,-9,35,4,0,9,Competitive (7-12)
2021,4,Round 4,2021-04-04,Roosters,32,Warriors,12,Sydney Cricket Ground,https://www.nrl.com/draw/nrl-premiership/2021/round-4/roosters-v-warriors/,1,20,44,4,0,20,Comfortable (13-24)
2021,4,Round 4,2021-04-05,Wests Tigers,22,Eels,36,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-4/wests-tigers-v-eels/,0,-14,58,4,0,14,Comfortable (13-24)
2021,5,Round 5,2021-04-08,Rabbitohs,35,Broncos,6,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/rabbitohs-v-broncos/,1,29,41,5,0,29,Blowout (25+)
2021,5,Round 5,2021-04-09,Warriors,12,Sea Eagles,13,Industree Group Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/warriors-v-sea-eagles/,0,-1,25,5,0,1,Close (1-6)
2021,5,Round 5,2021-04-09,Panthers,30,Raiders,10,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/panthers-v-raiders/,1,20,40,5,0,20,Comfortable (13-24)
2021,5,Round 5,2021-04-10,Titans,42,Knights,16,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/titans-v-knights/,1,26,58,5,0,26,Blowout (25+)
2021,5,Round 5,2021-04-10,Bulldogs,18,Storm,52,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/bulldogs-v-storm/,0,-34,70,5,0,34,Blowout (25+)
2021,5,Round 5,2021-04-10,Roosters,26,Sharks,18,Sydney Cricket Ground,https://www.nrl.com/draw/nrl-premiership/2021/round-5/roosters-v-sharks/,1,8,44,5,0,8,Competitive (7-12)
2021,5,Round 5,2021-04-11,Wests Tigers,30,Cowboys,34,Leichhardt Oval,https://www.nrl.com/draw/nrl-premiership/2021/round-5/wests-tigers-v-cowboys/,0,-4,64,5,0,4,Close (1-6)
2021,5,Round 5,2021-04-11,Eels,12,Dragons,26,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-5/eels-v-dragons/,0,-14,38,5,0,14,Comfortable (13-24)
2021,6,Round 6,2021-04-15,Broncos,12,Panthers,20,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/broncos-v-panthers/,0,-8,32,6,0,8,Competitive (7-12)
2021,6,Round 6,2021-04-16,Knights,26,Sharks,22,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/knights-v-sharks/,1,4,48,6,0,4,Close (1-6)
2021,6,Round 6,2021-04-16,Storm,20,Roosters,4,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2021/round-6/storm-v-roosters/,1,16,24,6,0,16,Comfortable (13-24)
2021,6,Round 6,2021-04-17,Sea Eagles,36,Titans,0,Glen Willow Oval,https://www.nrl.com/draw/nrl-premiership/2021/round-6/sea-eagles-v-titans/,1,36,36,6,0,36,Blowout (25+)
2021,6,Round 6,2021-04-17,Rabbitohs,18,Wests Tigers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/rabbitohs-v-wests-tigers/,1,4,32,6,0,4,Close (1-6)
2021,6,Round 6,2021-04-17,Raiders,10,Eels,35,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/raiders-v-eels/,0,-25,45,6,0,25,Blowout (25+)
2021,6,Round 6,2021-04-18,Dragons,14,Warriors,20,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/dragons-v-warriors/,0,-6,34,6,0,6,Close (1-6)
2021,6,Round 6,2021-04-18,Cowboys,30,Bulldogs,18,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2021/round-6/cowboys-v-bulldogs/,1,12,48,6,0,12,Competitive (7-12)
