year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,4,Round 4,2024-03-30 06:30:00+00:00,Dragons,20,Sea Eagles,12,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/dragons-v-sea-eagles/,1,8,32
2024,4,Round 4,2024-03-30 08:35:00+00:00,Titans,14,Dolphins,30,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/titans-v-dolphins/,0,-16,44
2024,4,Round 4,2024-03-31 05:05:00+00:00,Warriors,20,Knights,12,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/warriors-v-knights/,1,8,32
2024,4,Round 4,2024-03-31 07:15:00+00:00,Sharks,36,Raiders,22,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/sharks-v-raiders/,1,14,58
2024,4,Round 4,2024-04-01 05:00:00+00:00,Eels,16,Wests Tigers,17,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-4/eels-v-wests-tigers/,0,-1,33
2024,5,Round 5,2024-04-04 09:00:00+00:00,Storm,34,Broncos,32,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/round-5/storm-v-broncos/,1,2,66
2024,5,Round 5,2024-04-05 07:00:00+00:00,Bulldogs,30,Roosters,26,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/bulldogs-v-roosters/,1,4,56
2024,5,Round 5,2024-04-05 09:00:00+00:00,Knights,30,Dragons,10,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/knights-v-dragons/,1,20,40
2024,5,Round 5,2024-04-06 04:00:00+00:00,Rabbitohs,4,Warriors,34,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/rabbitohs-v-warriors/,0,-30,38
2024,5,Round 5,2024-04-06 06:30:00+00:00,Sea Eagles,32,Panthers,18,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-5/sea-eagles-v-panthers/,1,14,50
2024,5,Round 5,2024-04-06 08:35:00+00:00,Dolphins,26,Wests Tigers,16,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-5/dolphins-v-wests-tigers/,1,10,42
